127.0.0.1 - - [24/Mar/2021:15:13:42 +0900] "GET / HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:25 +0900] "GET /LoginProc.do HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /index.do HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /resource_login/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /resource_login/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /resource_login/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /resource_login/vendor/animate/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /resource_login/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /resource_login/vendor/animsition/css/animsition.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /resource_login/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /resource_login/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /resource_login/css/util.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /resource_login/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:15:14:26 +0900] "GET /resource_login/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 304 -
