0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 11421
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/js/popper.min.js HTTP/1.1" 200 20336
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/js/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/js/jquery.stellar.min.js HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/js/jquery.countdown.min.js HTTP/1.1" 200 5339
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/js/aos.js HTTP/1.1" 200 14244
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/images/img_1_sq.jpg HTTP/1.1" 200 59329
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/js/main.js HTTP/1.1" 200 5786
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/images/logo.png HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/images/img_3_sq.jpg HTTP/1.1" 200 59476
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/images/img_1.jpg HTTP/1.1" 200 85363
0:0:0:0:0:0:0:1 - - [22/Mar/2021:09:31:51 +0900] "GET /resource/images/img_4_sq.jpg HTTP/1.1" 200 48649
